DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,TotalPersonasSencibilizadas,COD DANE INST EDUC,MUNICIPIO_COD,FECHA DE CARGUE,ID INDICADOR,INVERSION_TOTAL,FECHA VIGENCIA,META_NACIONAL
VAUPES,MITU,16,197001001670,97001,2016-12-31,3979,1416677.84,2016-12-31,48000
CUNDINAMARCA,CAJICA,1,125126000232,25126,2016-12-31,3979,88542.36,2016-12-31,48000
VALLE DEL CAUCA,TULUA,5,176834000408,76834,2015-12-31,3101,371186.06,2015-12-31,34000
MAGDALENA,FUNDACION,18,147288000094,47288,2015-12-31,3101,1336269.82,2015-12-31,34000
SUCRE,SINCELEJO,24,370001003871,70001,2014-12-31,2344,2840715.15,2014-12-31,18300
BOYACA,SOGAMOSO,9,215759000664,15759,2015-12-31,3101,668134.91,2015-12-31,34000
CUNDINAMARCA,FUSAGASUGA,51,325290001851,25290,2014-12-31,2344,6036519.71,2014-12-31,18300
CORDOBA,PURISIMA,23,123586000017,23586,2015-12-31,3101,1707455.89,2015-12-31,34000
ATLANTICO,SOLEDAD,19,308758004206,8758,2015-12-31,3101,1410507.04,2015-12-31,34000
BOLIVAR,CARTAGENA,2,113001002413,13001,2016-12-31,3979,177084.73,2016-12-31,48000
NARI�O,SAN ANDRES DE TUMACO,24,252835003808,52835,2016-12-31,3979,2125016.76,2016-12-31,48000
BOYACA,TUNJA,1,315001004043,15001,2014-12-31,2344,118363.13,2014-12-31,18300
CAUCA,SILVIA,24,119743000584,19743,2016-12-31,3979,2125016.76,2016-12-31,48000
MAGDALENA,NUEVA GRANADA,20,247460000249,47460,2015-12-31,3101,1484744.25,2015-12-31,34000
CASANARE,TAURAMENA,28,285410000045,85410,2015-12-31,3101,2078641.95,2015-12-31,34000
NORTE DE SANTANDER,CUCUTA,15,154001009017,54001,2016-12-31,3979,1328135.47,2016-12-31,48000
CESAR,RIO DE ORO,23,120614000495,20614,2016-12-31,3979,2036474.39,2016-12-31,48000
BOYACA,SUTAMARCHAN,21,215776000091,15776,2014-12-31,2344,2485625.76,2014-12-31,18300
VALLE DEL CAUCA,CALI,37,376001000411,76001,2014-12-31,2344,4379435.86,2014-12-31,18300
CHOCO,TADO,86,127787000029,27787,2016-12-31,3979,7614643.39,2016-12-31,48000
